City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temperature,Wind Speed
Jamestown,32,SH,1519942727,100,-15.94,-5.72,73.99,11.7
Guerrero Negro,0,MX,1519942709,45,27.97,-114.04,65.98,11.48
Kisangani,44,CD,1519943165,100,0.52,25.21,71.29,3.2
Stulpicani,0,RO,1519941600,77,47.46,25.77,5.0,2.19
Lyuban,88,BY,1519943166,85,52.8,28.0,18.1,10.92
Kavieng,44,PG,1519942763,100,-2.57,150.8,82.32,3.65
Nanortalik,0,GL,1519942969,87,60.14,-45.24,31.2,9.46
Prince Rupert,90,CA,1519941600,56,54.32,-130.32,42.8,6.93
Sangar,48,RU,1519942985,63,63.92,127.47,-22.09,2.64
Port Alfred,48,ZA,1519942767,89,-33.59,26.89,68.55,10.69
Faanui,68,PF,1519942861,99,-16.48,-151.75,82.0,17.52
Slave Lake,20,CA,1519941600,32,55.28,-114.77,24.8,18.34
Jalu,0,LY,1519943170,56,29.03,21.55,59.68,8.23
Torbay,75,CA,1519941600,100,47.66,-52.73,33.8,6.93
Lebyazhye,8,RU,1519939800,84,59.96,29.42,3.2,4.47
Butaritari,56,KI,1519942752,100,3.07,172.79,82.54,11.81
Hilo,90,US,1519937760,88,19.71,-155.08,67.44,21.32
Atar,0,MR,1519942943,43,20.52,-13.05,64.54,3.65
Punta Arenas,0,CL,1519938000,50,-53.16,-70.91,57.2,26.4
Castro,0,CL,1519942747,71,-42.48,-73.76,65.44,2.64
Atambua,32,ID,1519943172,100,-9.11,124.89,76.47,4.21
Arraial do Cabo,40,BR,1519938000,83,-22.97,-42.02,82.4,3.36
Vila Franca do Campo,40,PT,1519941600,87,37.72,-25.43,50.0,3.36
Nishihara,1,JP,1519941360,59,35.74,139.53,43.57,5.82
Merced,90,US,1519941180,71,37.3,-120.48,51.76,26.4
Diamantino,0,BR,1519943173,76,-14.4,-56.44,86.5,2.64
Vaini,75,TO,1519941600,74,-21.2,-175.2,84.2,4.7
Pangoa,92,PE,1519943174,100,-12.12,-73.0,63.87,2.3
Cordoba,88,AR,1519943174,57,-27.78,-67.24,60.63,2.42
Carnarvon,0,AU,1519942875,99,-24.87,113.63,76.38,17.07
Thompson,75,CA,1519941600,79,55.74,-97.86,24.8,8.05
Tuktoyaktuk,5,CA,1519941600,74,69.44,-133.03,-21.72,8.05
Te Anau,76,NZ,1519942787,99,-45.41,167.72,59.32,3.09
Bluff,36,NZ,1519942730,97,-46.6,168.33,61.17,11.7
Bandarbeyla,0,SO,1519942886,100,9.49,50.81,77.01,7.78
Westport,75,IE,1519938000,79,53.8,-9.52,28.4,21.92
Geraldton,90,AU,1519941600,83,-28.77,114.6,69.8,18.34
Yuza,75,JP,1519940760,86,39.05,139.95,28.4,35.57
Luanda,40,AO,1519941600,83,-8.83,13.24,80.6,3.36
Kholodnyy,12,RU,1519943179,41,62.72,147.95,-29.15,2.53
Sawtell,90,AU,1519941600,69,-30.38,153.1,73.4,5.82
Mulege,0,MX,1519943180,37,26.88,-111.98,68.23,9.13
Jacareacanga,0,BR,1519938000,59,-6.22,-57.76,91.4,2.24
La Sarre,0,CA,1519943181,78,48.8,-79.2,24.4,6.22
Ballina,75,IE,1519938000,79,54.11,-9.15,28.4,21.92
Saint George,75,BM,1519937700,64,32.38,-64.68,69.8,13.87
Kidal,24,ML,1519943182,34,18.44,1.41,77.23,5.21
Vryheid,0,ZA,1519943182,89,-27.77,30.79,57.57,2.53
Auki,92,SB,1519943183,100,-8.77,160.7,78.04,8.12
Leningradskiy,0,RU,1519942846,80,69.38,178.42,23.14,19.3
Yar-Sale,44,RU,1519943001,73,66.83,70.83,3.48,15.28
Ponta Delgada,40,PT,1519941600,87,37.73,-25.67,50.0,3.36
Los Llanos de Aridane,90,ES,1519941600,56,28.66,-17.92,69.8,6.93
Tura,0,IN,1519943186,90,25.52,90.21,60.45,4.99
Axim,0,GH,1519943186,97,4.87,-2.24,81.96,12.48
Bernay,80,FR,1519941600,81,49.09,0.6,32.9,13.87
Fuquay-Varina,90,US,1519941180,100,35.58,-78.8,61.88,5.66
Cayenne,20,GF,1519939800,78,4.94,-52.33,80.6,4.7
Souillac,40,MU,1519938000,83,-20.52,57.52,80.6,11.41
Yenagoa,92,NG,1519942813,76,4.92,6.26,79.12,7.56
Chimore,92,BO,1519943126,87,-16.98,-65.13,76.83,3.65
Ilulissat,75,GL,1519941000,69,69.22,-51.1,35.6,9.17
Vallenar,0,CL,1519943190,60,-28.58,-70.76,71.65,2.64
Altay,80,CN,1519942886,90,47.83,88.13,19.23,2.86
Verkhoyansk,64,RU,1519943191,74,67.55,133.39,-17.81,2.75
Nemuro,92,JP,1519942760,91,43.32,145.57,36.6,33.4
Tasiilaq,0,GL,1519941000,78,65.61,-37.64,15.8,4.7
Bredasdorp,32,ZA,1519938000,64,-34.53,20.04,68.0,10.29
Flinders,75,AU,1519938000,82,-34.58,150.85,64.4,5.82
Parkes,12,AU,1519943164,81,-33.14,148.18,61.35,10.92
Karpathos,8,GR,1519941000,71,35.51,27.21,51.8,2.24
Comodoro Rivadavia,0,AR,1519938000,40,-45.87,-67.48,71.6,16.11
Cherskiy,88,RU,1519942956,84,68.75,161.3,0.24,8.01
College,1,US,1519941480,84,64.86,-147.8,-2.24,9.17
Labytnangi,36,RU,1519943194,68,66.66,66.39,-1.16,10.69
Vostok,88,RU,1519942933,76,46.45,135.83,11.67,6.67
Saint-Pierre,0,PM,1519941600,96,46.77,-56.17,32.0,10.29
Harper,20,LR,1519943195,94,4.38,-7.71,82.72,8.34
Natal,75,BR,1519941600,94,-5.81,-35.21,75.2,8.79
Koumac,56,NC,1519943196,88,-20.56,164.28,79.08,3.76
Hailun,0,CN,1519943197,63,47.46,126.97,-8.32,2.98
Port Blair,32,IN,1519942812,99,11.67,92.75,83.58,8.79
Kodiak,1,US,1519937580,27,39.95,-94.76,51.8,13.87
Zheleznodorozhnyy,20,RU,1519939800,60,55.75,38.0,8.6,11.18
Longyearbyen,20,SJ,1519941000,61,78.22,15.64,12.2,13.87
Clyde River,90,CA,1519941600,100,70.47,-68.59,14.0,6.93
Shingu,0,JP,1519943199,100,33.72,135.99,46.9,19.19
Mrakovo,0,RU,1519943199,42,52.72,56.62,-14.17,2.64
Ribeira Grande,75,PT,1519938000,62,38.52,-28.7,51.8,4.7
San Patricio,5,MX,1519940940,78,19.22,-104.7,78.8,11.41
Roald,0,NO,1519941000,61,62.58,6.12,12.63,6.93
Kashary,92,RU,1519943201,89,49.04,41.01,17.25,10.47
Buarcos,20,PT,1519941600,87,40.16,-8.88,46.4,3.36
Svobodnyy,68,RU,1519943202,76,53.85,40.53,5.37,10.47
Maceio,40,BR,1519938000,83,-9.67,-35.74,78.8,10.29
Qaanaaq,80,GL,1519942801,93,77.48,-69.36,13.56,8.46
Mount Gambier,88,AU,1519942867,92,-37.83,140.78,55.27,3.65
Klaksvik,20,FO,1519941000,63,62.23,-6.59,30.2,9.17
Nikolskoye,0,RU,1519939800,84,59.7,30.79,3.2,4.47
Hamilton,75,BM,1519937700,64,32.3,-64.78,69.8,13.87
Constitucion,40,MX,1519940520,13,23.99,-104.67,80.6,14.99
Bowen,40,AU,1519938000,94,-20.01,148.25,75.2,5.44
Shache,12,CN,1519943208,77,38.42,77.24,32.95,4.43
Upata,76,VE,1519943209,48,8.02,-62.41,85.92,6.78
Boralday,90,KZ,1519939800,100,43.36,76.86,37.4,6.71
Inhambane,88,MZ,1519943209,92,-23.87,35.38,77.37,10.47
Macklin,44,CA,1519943210,96,52.34,-109.94,22.33,13.82
Merrill,75,US,1519941180,64,42.03,-121.6,39.2,20.8
Mayo,5,CA,1519941600,54,63.59,-135.9,-0.41,3.36
Plettenberg Bay,92,ZA,1519943211,100,-34.05,23.37,66.97,12.59
Dingle,88,IE,1519942837,100,52.14,-10.27,34.75,26.91
Esperance,64,AU,1519942847,97,-33.86,121.89,64.68,10.02
Puksoozero,92,RU,1519943213,82,62.59,40.61,8.07,4.65
Rietavas,75,LT,1519941000,73,55.72,21.93,19.4,6.93
Luderitz,0,NA,1519938000,56,-26.65,15.16,69.8,24.16
Marawi,0,SD,1519943214,24,18.48,31.82,66.93,11.48
Guasdualito,0,VE,1519941600,30,7.24,-70.73,95.0,8.01
Port Hedland,76,AU,1519941600,88,-20.31,118.58,80.6,3.36
Batouri,8,CM,1519943216,89,4.44,14.36,71.97,5.1
Saanen,0,CH,1519941000,86,46.49,7.26,25.66,6.93
Darnah,8,LY,1519942847,100,32.77,22.64,60.72,17.07
Albanel,90,CA,1519941600,86,48.88,-72.44,28.4,5.82
Portland,64,AU,1519942995,89,-33.35,149.98,56.98,3.31
Nome,1,US,1519941300,47,30.04,-94.42,74.75,9.17
Narasannapeta,0,IN,1519943219,99,18.42,84.04,61.84,2.19
Dunedin,92,NZ,1519942570,94,-45.87,170.5,61.48,3.76
Vardo,75,NO,1519941000,79,70.37,31.11,23.52,3.36
Warmbad,0,NA,1519943220,32,-28.45,18.73,70.8,10.36
Pitimbu,75,BR,1519941600,88,-7.47,-34.81,77.0,12.71
Pedernales,20,DO,1519938000,65,18.04,-71.74,82.4,20.8
Carutapera,64,BR,1519943226,86,-1.2,-46.02,80.7,6.33
Broome,0,AU,1519941600,88,-17.97,122.23,78.8,4.7
Sabha,0,JO,1519941600,71,32.33,36.5,51.8,3.42
Samarai,48,PG,1519943228,100,-10.62,150.67,82.05,2.75
Yumen,20,CN,1519942852,59,40.29,97.04,33.72,11.7
Ahipara,76,NZ,1519942844,94,-35.17,173.16,70.53,12.03
Kyren,68,RU,1519943229,63,51.68,102.13,11.17,2.08
Caravelas,0,BR,1519943013,100,-17.73,-39.27,82.05,18.52
Ajaccio,90,FR,1519941600,93,41.93,8.74,47.25,5.82
Kahului,40,US,1519941360,61,20.89,-156.47,78.1,15.5
Tuatapere,100,NZ,1519942776,100,-46.13,167.69,61.39,4.43
Kaitangata,88,NZ,1519942827,97,-46.28,169.85,60.4,4.65
Homer,1,US,1519941180,45,59.64,-151.54,25.74,4.7
Husavik,90,IS,1519938000,80,66.04,-17.34,30.2,8.05
Aden,56,YE,1519943234,100,12.79,45.03,76.15,7.78
Cidreira,44,BR,1519942766,78,-30.17,-50.22,76.87,11.36
Oswego,1,US,1519942500,27,37.17,-95.11,56.32,6.93
San Andres,20,CO,1519941600,62,8.22,-76.58,84.2,11.41
Puerto Ayacucho,40,VE,1519941600,41,5.66,-67.62,93.2,13.87
Alcains,88,PT,1519943075,95,39.92,-7.46,41.23,18.3
Qandala,0,SO,1519943239,100,11.47,49.87,62.83,1.19
Boddam,75,GB,1519941000,86,57.47,-1.78,30.2,18.34
Chippewa Falls,1,US,1519941360,44,44.94,-91.39,40.14,10.29
Tilichiki,12,RU,1519943031,76,60.47,166.1,10.95,11.7
Puro,80,PH,1519943241,100,13.13,123.76,73.95,2.75
Mao,0,TD,1519942887,17,14.12,15.31,77.32,11.7
San Jose,90,BO,1519941600,78,-17.94,-63.35,78.8,3.36
Aklavik,20,CA,1519941600,64,68.22,-135.01,-7.08,3.42
Paamiut,80,GL,1519943245,90,61.99,-49.67,31.6,2.98
Sao Filipe,0,CV,1519942804,97,14.9,-24.5,69.85,10.8
Rio Gallegos,100,AR,1519943246,53,-51.62,-69.22,65.08,19.08
Ugoofaaru,100,MV,1519943247,100,5.67,73.0,82.54,10.8
Baherden,92,TM,1519943247,98,38.44,57.43,47.53,4.65
Schkeuditz,0,DE,1519941000,66,51.4,12.22,15.8,16.11
Saint-Philippe,0,RE,1519939800,78,-21.36,55.77,77.0,6.93
Geneva,90,US,1519941360,80,42.87,-76.98,36.32,4.76
Rio Grande,20,BR,1519940700,74,-32.03,-52.1,78.8,5.82
Saint-Joseph,0,RE,1519939800,78,-21.37,55.62,77.0,6.93
Kindu,64,CD,1519943251,95,-2.95,25.92,71.47,1.97
Mandalgovi,0,MN,1519943252,70,45.76,106.27,9.64,3.42
Coahuayana,0,MX,1519943252,24,18.62,-100.35,87.4,2.98
Koulamoutou,56,GA,1519943253,89,-1.13,12.47,73.32,2.42
Port Keats,20,AU,1519942961,95,-14.25,129.55,80.74,8.23
Samokov,75,MK,1519941600,73,41.68,21.15,24.8,1.12
Kargasok,24,RU,1519943254,59,59.06,80.87,-20.51,4.43
Bajil,32,YE,1519943254,93,15.06,43.29,71.02,3.42
Warrnambool,76,AU,1519943009,100,-38.38,142.48,58.69,5.55
Ostrovnoy,48,RU,1519942821,88,68.05,39.51,17.43,13.94
Vanimo,20,PG,1519942818,100,-2.67,141.3,80.2,2.64
Ismailia,0,EG,1519943257,79,30.6,32.27,57.3,9.8
Irbit,48,RU,1519943257,79,57.67,63.06,12.7,9.24
Sorland,24,NO,1519943257,100,67.67,12.69,33.94,14.27
Honiara,40,SB,1519941600,78,-9.43,159.96,82.4,4.7
Yeniseysk,32,RU,1519943258,75,58.45,92.17,-7.33,6.55
Yepocapa,20,GT,1519941600,53,14.5,-90.96,81.82,11.41
Hrodna,68,BY,1519943260,83,53.68,23.83,7.62,4.65
Morro Bay,90,US,1519941360,71,35.37,-120.85,56.71,21.92
Mehamn,75,NO,1519941000,68,71.03,27.85,27.36,9.17
Yelizovo,0,RU,1519939800,60,53.19,158.38,8.6,13.42
Bambous Virieux,40,MU,1519938000,83,-20.34,57.76,80.6,11.41
Kilindoni,80,TZ,1519943262,100,-7.91,39.67,78.58,12.26
Khatanga,36,RU,1519942740,75,71.98,102.47,-11.65,7.78
Kenai,1,US,1519941360,52,60.55,-151.26,20.32,6.93
Khasan,0,RU,1519943263,100,42.43,130.64,19.45,18.86
Hay River,40,CA,1519941600,64,60.82,-115.79,-2.21,6.93
Yzeure,0,FR,1519941600,81,46.57,3.36,42.8,8.05
Desbiens,90,CA,1519941600,86,48.42,-71.95,28.4,5.82
Soller,20,ES,1519941600,87,39.77,2.72,59.0,12.75
Santa Fe,20,CU,1519941300,54,23.13,-82.26,82.4,8.05
Namatanai,32,PG,1519943024,100,-3.66,152.44,81.73,8.01
Namibe,0,AO,1519942948,100,-15.19,12.15,74.53,8.68
Cabo San Lucas,20,MX,1519940880,56,22.89,-109.91,71.76,4.7
Billings,75,US,1519941180,54,45.79,-108.5,30.2,3.36
Hervey Bay,0,AU,1519943269,98,-25.3,152.85,79.35,3.2
Malanje,8,AO,1519943270,77,-9.54,16.35,68.14,6.44
Sibu,75,MY,1519941600,94,2.29,111.83,73.4,2.24
Talcahuano,0,CL,1519941600,73,-36.72,-73.12,69.8,11.41
Vangaindrano,92,MG,1519942778,100,-23.35,47.6,69.94,2.86
Coihaique,40,CL,1519938000,42,-45.58,-72.07,61.54,11.41
Grand Gaube,40,MU,1519941600,83,-20.01,57.66,80.6,11.41
Henties Bay,0,NA,1519943046,100,-22.12,14.28,61.8,4.54
Adeje,75,ES,1519941600,88,28.12,-16.73,61.29,16.11
Shebekino,90,RU,1519939800,92,50.41,36.89,15.35,11.18
Skjervoy,90,NO,1519937400,100,70.03,20.97,30.2,5.82
Sechura,0,PE,1519943276,63,-5.56,-80.82,82.23,14.83
Rypefjord,75,NO,1519941000,92,70.63,23.67,29.32,8.05
Norman Wells,20,CA,1519941600,57,65.28,-126.83,-7.61,2.24
Alta Floresta,40,BR,1519938000,62,-9.87,-56.08,86.0,11.41
Hirara,75,JP,1519939800,77,24.8,125.28,64.4,6.93
Kloulklubed,75,PW,1519941180,83,7.04,134.26,79.74,5.82
Port Augusta,92,AU,1519941600,82,-32.49,137.76,68.0,3.36
Nargana,8,PA,1519943282,100,9.44,-78.59,79.12,13.04
Pangnirtung,90,CA,1519941600,92,66.15,-65.72,23.0,2.19
Hoquiam,1,US,1519941180,70,46.98,-123.89,45.36,12.75
Leh,88,IN,1519943284,88,34.16,77.58,10.09,1.52
Tiruchchendur,0,IN,1519943285,83,8.48,78.12,79.03,13.6
Lorengau,48,PG,1519942796,100,-2.02,147.27,81.19,2.3
Kuruman,76,ZA,1519943287,93,-27.46,23.43,61.08,2.42
Mamaku,92,NZ,1519943288,93,-38.1,176.07,63.19,7.78
Bodden Town,20,KY,1519941600,69,19.28,-81.25,82.4,14.99
Kokoda,68,PG,1519943288,98,-8.88,147.74,64.05,0.4
Ruteng,12,ID,1519943289,90,-8.61,120.46,67.78,3.2
Bud,0,NO,1519941000,51,62.91,6.91,17.69,10.29
Necochea,0,AR,1519942576,52,-38.55,-58.74,85.33,2.86
Bantry,88,IE,1519943291,100,51.68,-9.45,33.27,24.34
Gravdal,0,NO,1519941000,44,59.79,5.78,21.2,5.82
Taoudenni,0,ML,1519942785,25,22.68,-3.98,71.7,7.78
Amahai,92,ID,1519943294,100,-3.31,129.0,75.88,4.76
Arona,75,ES,1519941600,88,28.1,-16.68,61.3,16.11
Bilma,0,NE,1519943295,31,18.69,12.92,63.73,2.75
Buzmeyin,32,TM,1519938000,93,38.05,58.21,46.4,2.24
Myre,40,NO,1519941000,79,69.1,15.95,28.4,13.87
Mantenopolis,36,BR,1519943297,43,-18.86,-41.12,88.12,5.44
Hovd,0,MN,1519943299,58,48.01,91.64,21.34,10.8
Vanavara,0,RU,1519943299,38,60.35,102.28,-26.0,2.64
Lagoa,20,PT,1519941600,76,37.14,-8.45,57.2,13.87
Oranjemund,32,NA,1519943300,95,-28.55,16.43,63.19,19.75
Vredendal,8,ZA,1519943301,91,-31.68,18.49,53.97,4.65
Tabas,0,IR,1519943302,81,33.6,56.92,42.22,3.42
Stephenville,1,US,1519941300,62,32.22,-98.2,61.2,13.87
Silvania,20,BR,1519941600,65,-16.66,-48.61,79.72,3.65
Chuy,0,UY,1519942605,81,-33.69,-53.46,76.2,8.23
Marshfield,1,US,1519942500,87,42.09,-70.71,47.48,4.7
Carndonagh,90,IE,1519939200,69,55.25,-7.27,33.8,26.4
Vao,44,NC,1519942761,100,-22.67,167.48,78.72,6.22
Kiama,75,AU,1519938000,82,-34.67,150.86,64.4,5.82
Sembe,32,CG,1519943308,91,1.65,14.58,72.73,2.3
Riyadh,75,SA,1519941600,82,24.63,46.72,60.8,2.24
Georgetown,76,SH,1519942795,100,-7.93,-14.42,78.94,16.96
Sussex,90,CA,1519941600,96,45.72,-65.51,33.8,12.75
Cockburn Town,0,TC,1519942734,100,21.46,-71.14,75.52,8.46
Ust-Kulom,36,RU,1519943311,86,61.69,53.69,13.78,6.33
Nadym,48,RU,1519943312,76,65.53,72.51,5.05,14.05
San Jeronimo,5,MX,1519940580,15,29.37,-110.79,80.6,4.7
Bratsk,0,RU,1519941600,83,56.15,101.63,-13.01,4.47
Pilot Butte,20,CA,1519941600,58,50.48,-104.42,32.0,9.17
Yaring,76,TH,1519943314,91,6.87,101.37,76.38,2.98
Vestmanna,24,FO,1519941000,63,62.16,-7.17,30.2,9.17
Omboue,20,GA,1519943315,100,-1.57,9.26,82.09,7.34
Port Lincoln,88,AU,1519943316,98,-34.72,135.86,66.34,7.45
Batemans Bay,24,AU,1519942828,100,-35.71,150.18,60.22,4.32
Sualkuchi,68,IN,1519943316,100,26.17,91.57,63.64,5.44
Labelle,24,CA,1519943318,58,46.28,-74.73,38.4,4.99
Fortuna,75,US,1519941300,87,40.6,-124.16,43.79,8.05
Camacha,75,PT,1519941600,82,33.08,-16.33,63.37,16.11
Sao Felix do Xingu,0,BR,1519943320,83,-6.64,-51.99,81.1,2.19
Korla,36,CN,1519943037,70,41.76,86.15,24.13,2.64
Filadelfia,56,PY,1519943321,94,-22.35,-60.04,79.75,5.44
Hegang,0,CN,1519943322,59,47.34,130.28,7.71,9.46
Waipawa,92,NZ,1519942833,79,-39.94,176.59,66.57,11.92
Arkhangelsk,90,RU,1519941600,100,64.54,40.54,17.6,4.47
Grindavik,0,IS,1519939800,100,63.84,-22.43,30.9,16.11
Swan Hill,56,AU,1519943323,85,-35.34,143.56,57.52,7.56
Nagapattinam,0,IN,1519943323,77,10.76,79.84,73.41,6.44
Dawei,8,MM,1519943324,87,14.07,98.19,69.63,1.63
Rudsar,90,IR,1519941600,93,37.14,50.29,50.49,6.93
Pudozh,56,RU,1519943330,66,61.81,36.54,-8.5,2.98
Saquarema,40,BR,1519941600,88,-22.93,-42.51,81.3,5.82
Pacifica,20,US,1519941360,67,37.61,-122.49,56.75,17.22
Neiafu,75,TO,1519941600,83,-18.65,-173.98,84.2,9.17
Litovko,80,RU,1519943331,72,49.24,135.18,14.14,5.66
Akbarpur,0,IN,1519943332,63,26.42,82.54,68.59,5.66
Nantucket,1,US,1519942500,75,41.28,-70.1,47.5,10.29
Ust-Kut,24,RU,1519943333,41,56.78,105.75,-14.66,2.42
Kumi,80,UG,1519943333,99,1.49,33.93,62.52,2.75
Sinop,68,TR,1519943333,100,42.03,35.15,39.52,9.57
Soyo,24,AO,1519943334,97,-6.13,12.37,75.07,2.64
Plaisance-du-Touch,90,FR,1519941600,81,43.57,1.3,51.8,32.21
Senanga,92,ZM,1519943335,97,-16.1,23.3,69.85,6.11
Launceston,90,AU,1519941600,82,-41.43,147.14,59.0,3.36
Zhigansk,36,RU,1519942881,66,66.77,123.37,-22.63,2.64
Orlik,76,RU,1519943337,79,52.51,99.83,6.9,1.97
Kwidzyn,80,PL,1519943337,84,53.73,18.93,5.59,5.21
Channel-Port aux Basques,8,CA,1519943338,97,47.57,-59.14,31.33,1.86
Kruisfontein,100,ZA,1519943020,97,-34.0,24.73,66.52,8.68
Santa Rosa,12,AR,1519943339,33,-36.62,-64.29,92.08,4.54
Bilecik,0,TR,1519941000,84,40.14,29.98,30.16,3.36
Alice Springs,0,AU,1519941600,27,-23.7,133.88,78.8,8.05
Bayan,5,KW,1519941600,93,29.3,48.05,60.8,4.7
South Sioux City,1,US,1519942500,60,42.47,-96.41,38.3,5.82
Normandin,90,CA,1519941600,86,48.84,-72.53,28.4,5.82
Dunmore East,92,IE,1519943344,100,52.15,-6.99,33.81,29.93
Zhengjiatun,56,CN,1519943344,73,43.51,123.51,0.64,4.65
Nouadhibou,75,MR,1519941600,88,20.93,-17.03,66.2,6.93
Ouallam,0,NE,1519943346,15,14.32,2.08,82.63,11.36
Ayagoz,12,KZ,1519943347,76,47.96,80.43,3.43,13.94
Urucara,44,BR,1519943348,74,-2.54,-57.76,84.97,3.53
Tiarei,20,PF,1519941600,59,-17.53,-149.33,89.6,8.05
Ancud,32,CL,1519942805,77,-41.87,-73.83,64.5,2.98
Pinega,24,RU,1519943349,70,64.7,43.39,9.78,2.75
Amberley,88,NZ,1519941600,82,-43.15,172.73,68.0,5.82
Key West,1,US,1519942500,79,47.93,-96.78,31.77,4.7
Bukama,88,CD,1519943352,98,-9.2,25.85,67.83,4.43
Birnin Kebbi,0,NG,1519943352,19,12.45,4.2,78.4,8.12
Iqaluit,90,CA,1519942260,84,63.75,-68.52,6.8,6.93
Akonolinga,12,CM,1519943353,96,3.77,12.24,68.28,2.08
Roma,20,AU,1519943354,81,-26.57,148.79,74.8,6.89
Opuwo,0,NA,1519943354,33,-18.06,13.84,66.3,5.55
Mumford,0,GH,1519943354,82,5.26,-0.76,79.62,7.45
Narsaq,5,GL,1519941000,74,60.91,-46.05,28.4,2.24
Luau,64,AO,1519943355,88,-10.71,22.22,69.63,5.21
Hualmay,20,PE,1519942825,61,-11.1,-77.61,75.25,4.21
Zeya,12,RU,1519942900,43,53.74,127.27,-15.38,2.19
Kyzyl-Suu,88,KG,1519943358,100,42.34,78.0,32.05,7.0
Zanzibar,20,TZ,1519938000,83,-6.16,39.2,78.8,5.99
Magadan,20,RU,1519941600,82,59.56,150.8,-27.41,6.55
Margate,80,ZA,1519942997,100,-30.86,30.37,69.81,3.2
Elverum,0,NO,1519943361,64,60.88,11.56,-3.86,2.42
Bayeux,76,FR,1519941600,86,49.28,-0.7,33.35,16.11
Rawson,0,AR,1519943362,21,-43.3,-65.11,82.32,6.33
Yendi,0,GH,1519943364,42,9.45,0.0,78.27,5.77
Putina,75,PE,1519941600,58,-14.91,-69.87,53.6,10.29
Upington,0,ZA,1519941600,27,-28.46,21.24,75.2,3.36
